[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={0DC062CD-4409-4D11-BF1B-D0962EB5CB52}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,30/Jan/2018 19:15
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.000,55.000
Scan step size,0.0250000
No. of points, 1881
Scan type,STEP
Omega,2.000
Time per step,20.000
[Scan points]
Angle,Intensity
8.000,83
8.025,80
8.050,85
8.075,81
8.100,82
8.125,83
8.150,84
8.175,84
8.200,83
8.225,80
8.250,85
8.275,83
8.300,80
8.325,77
8.350,77
8.375,83
8.400,78
8.425,74
8.450,76
8.475,77
8.500,78
8.525,81
8.550,76
8.575,77
8.600,78
8.625,78
8.650,78
8.675,78
8.700,76
8.725,75
8.750,73
8.775,75
8.800,72
8.825,79
8.850,75
8.875,78
8.900,74
8.925,74
8.950,72
8.975,73
9.000,71
9.025,74
9.050,73
9.075,74
9.100,73
9.125,73
9.150,75
9.175,69
9.200,74
9.225,73
9.250,71
9.275,77
9.300,71
9.325,70
9.350,74
9.375,74
9.400,72
9.425,70
9.450,72
9.475,68
9.500,73
9.525,66
9.550,67
9.575,74
9.600,68
9.625,71
9.650,66
9.675,68
9.700,69
9.725,69
9.750,69
9.775,68
9.800,67
9.825,62
9.850,70
9.875,68
9.900,64
9.925,69
9.950,65
9.975,65
10.000,65
10.025,67
10.050,67
10.075,67
10.100,66
10.125,63
10.150,66
10.175,67
10.200,67
10.225,64
10.250,64
10.275,63
10.300,69
10.325,64
10.350,64
10.375,65
10.400,64
10.425,65
10.450,65
10.475,63
10.500,63
10.525,65
10.550,64
10.575,61
10.600,62
10.625,64
10.650,63
10.675,65
10.700,63
10.725,60
10.750,62
10.775,60
10.800,63
10.825,62
10.850,62
10.875,61
10.900,59
10.925,62
10.950,59
10.975,59
11.000,61
11.025,58
11.050,59
11.075,60
11.100,60
11.125,61
11.150,58
11.175,59
11.200,57
11.225,62
11.250,60
11.275,60
11.300,56
11.325,57
11.350,57
11.375,58
11.400,59
11.425,57
11.450,62
11.475,56
11.500,53
11.525,59
11.550,58
11.575,58
11.600,58
11.625,60
11.650,59
11.675,56
11.700,61
