[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={66153EEB-86EC-4304-B638-661945051D6C}"
Comment - 6, "Pre-set counts scan: The intensities are reported as counts per second"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,25/Jan/2018 20:40
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.000,55.000
Scan step size,0.0250000
No. of points, 1881
Scan type,STEP
Omega,2.000
Time per step,1.00
[Scan points]
Angle,Intensity
8.000,97
8.025,93
8.050,96
8.075,96
8.100,96
8.125,98
8.150,94
8.175,97
8.200,93
8.225,92
8.250,93
8.275,94
8.300,95
8.325,98
8.350,93
8.375,90
8.400,90
8.425,95
8.450,90
8.475,87
8.500,89
8.525,91
8.550,93
8.575,92
8.600,90
8.625,92
8.650,88
8.675,90
8.700,94
8.725,90
8.750,92
8.775,85
8.800,89
8.825,90
8.850,91
8.875,88
8.900,89
8.925,91
8.950,90
8.975,88
9.000,88
9.025,87
9.050,89
9.075,88
9.100,88
9.125,87
9.150,86
9.175,87
9.200,91
9.225,91
9.250,85
9.275,90
9.300,93
9.325,90
9.350,92
9.375,93
9.400,94
9.425,90
9.450,89
9.475,89
9.500,84
9.525,83
9.550,85
9.575,91
9.600,84
9.625,81
9.650,83
9.675,79
9.700,81
9.725,82
9.750,82
9.775,82
9.800,83
9.825,80
9.850,82
9.875,78
9.900,77
9.925,78
9.950,79
9.975,81
10.000,80
10.025,78
10.050,81
10.075,80
10.100,78
10.125,77
10.150,77
10.175,75
10.200,77
10.225,78
10.250,77
10.275,79
10.300,79
10.325,79
10.350,78
10.375,76
10.400,75
10.425,77
10.450,75
10.475,76
10.500,77
10.525,76
10.550,79
10.575,78
10.600,76
10.625,79
10.650,79
10.675,76
10.700,74
10.725,75
10.750,77
10.775,72
10.800,77
10.825,74
10.850,73
10.875,74
10.900,77
10.925,72
10.950,73
10.975,71
11.000,77
11.025,69
11.050,75
11.075,71
11.100,72
11.125,72
11.150,71
11.175,69
11.200,67
11.225,72
11.250,69
11.275,68
11.300,75
11.325,67
11.350,68
11.375,72
11.400,68
11.425,68
11.450,69
11.475,69
11.500,70
11.525,69
11.550,69
11.575,70
11.600,67
