[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={1B0B265C-F63A-42C6-ADDC-A5C5FE219C86}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,31/Jan/2018 11:48
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,15.000,55.000
Scan step size,0.0250000
No. of points, 1601
Scan type,STEP
Omega,2.000
Time per step,10.000
[Scan points]
Angle,Intensity
15.000,44
15.025,47
15.050,45
15.075,48
15.100,43
15.125,47
15.150,46
15.175,42
15.200,47
15.225,44
15.250,43
15.275,45
15.300,45
15.325,43
15.350,46
15.375,49
15.400,42
15.425,44
15.450,44
15.475,46
15.500,44
15.525,47
15.550,43
15.575,45
15.600,45
15.625,43
15.650,40
15.675,47
15.700,46
15.725,41
15.750,45
15.775,43
15.800,43
15.825,45
15.850,42
15.875,43
15.900,42
15.925,47
15.950,45
15.975,41
16.000,42
16.025,42
16.050,47
16.075,46
16.100,46
16.125,44
16.150,43
16.175,42
16.200,37
16.225,41
16.250,42
16.275,46
16.300,40
16.325,42
16.350,41
16.375,43
16.400,40
16.425,41
16.450,42
16.475,39
16.500,39
16.525,43
16.550,45
16.575,41
16.600,44
16.625,37
16.650,42
16.675,42
16.700,42
16.725,38
16.750,39
16.775,41
16.800,39
16.825,38
16.850,38
16.875,38
16.900,40
16.925,41
16.950,45
16.975,45
17.000,42
17.025,38
17.050,41
17.075,39
17.100,39
17.125,38
17.150,41
17.175,39
17.200,37
17.225,36
17.250,36
17.275,40
17.300,40
17.325,36
17.350,40
17.375,37
17.400,41
17.425,35
17.450,40
17.475,38
17.500,38
17.525,39
17.550,38
17.575,37
17.600,39
17.625,39
17.650,35
17.675,38
17.700,39
17.725,38
17.750,35
17.775,39
17.800,34
17.825,37
17.850,39
17.875,39
17.900,39
17.925,41
17.950,38
17.975,34
18.000,39
18.025,37
18.050,38
18.075,37
18.100,36
18.125,35
18.150,37
18.175,36
18.200,39
18.225,37
18.250,37
18.275,39
18.300,35
18.325,40
18.350,35
18.375,38
18.400,37
18.425,36
18.450,37
18.475,35
18.500,34
18.525,36
18.550,39
18.575,36
18.600,35
18.625,35
18.650,41
18.675,34
18.700,36
