[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GraizingIncidence.xrdmp, Identifier={915FE0EE-E051-482C-A849-DA9D0519CF47}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,17/Mar/2015 14:58
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.0000,55.0000
Scan step size,0.0500000
No. of points, 940
Scan type,CONTINUOUS
Omega,2.000
Time per step,10.00
[Scan points]
Angle,Intensity
8.0250,21.0
8.0750,14.0
8.1250,21.0
8.1750,24.0
8.2250,21.0
8.2750,17.0
8.3250,14.0
8.3750,18.0
8.4250,19.0
8.4750,9.0
8.5250,17.0
8.5750,16.0
8.6250,18.0
8.6750,24.0
8.7250,12.0
8.7750,13.0
8.8250,25.0
8.8750,14.0
8.9250,13.0
8.9750,18.0
9.0250,17.0
9.0750,15.0
9.1250,17.0
9.1750,15.0
9.2250,19.0
9.2750,20.0
9.3250,21.0
9.3750,7.0
9.4250,15.0
9.4750,9.0
9.5250,10.0
9.5750,13.0
9.6250,12.0
9.6750,13.0
9.7250,14.0
9.7750,14.0
9.8250,21.0
9.8750,14.0
9.9250,9.0
9.9750,18.0
10.0250,13.0
10.0750,24.0
10.1250,8.0
10.1750,18.0
10.2250,13.0
10.2750,11.0
10.3250,12.0
10.3750,10.0
10.4250,16.0
10.4750,11.0
10.5250,15.0
10.5750,17.0
10.6250,10.0
10.6750,9.0
10.7250,15.0
10.7750,15.0
10.8250,14.0
10.8750,13.0
10.9250,21.0
10.9750,18.0
11.0250,18.0
11.0750,13.0
11.1250,12.0
11.1750,14.0
11.2250,9.0
11.2750,15.0
11.3250,15.0
11.3750,10.0
11.4250,13.0
11.4750,4.0
11.5250,14.0
11.5750,9.0
11.6250,11.0
11.6750,10.0
11.7250,10.0
11.7750,7.0
11.8250,10.0
11.8750,11.0
11.9250,9.0
11.9750,10.0
12.0250,8.0
12.0750,9.0
12.1250,11.0
12.1750,12.0
12.2250,13.0
12.2750,9.0
12.3250,12.0
12.3750,11.0
12.4250,10.0
12.4750,8.0
12.5250,11.0
12.5750,16.0
12.6250,11.0
12.6750,9.0
12.7250,11.0
12.7750,9.0
12.8250,6.0
12.8750,9.0
12.9250,5.0
