[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={3786F9F8-4607-4502-984F-A37399FDAA2B}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,24/Jan/2018 00:30
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.000,60.000
Scan step size,0.0250000
No. of points, 2081
Scan type,STEP
Omega,1.000
Time per step,20.000
[Scan points]
Angle,Intensity
8.000,105
8.025,103
8.050,103
8.075,98
8.100,103
8.125,100
8.150,102
8.175,100
8.200,98
8.225,94
8.250,100
8.275,97
8.300,97
8.325,99
8.350,95
8.375,96
8.400,98
8.425,99
8.450,96
8.475,101
8.500,94
8.525,96
8.550,95
8.575,96
8.600,96
8.625,94
8.650,95
8.675,95
8.700,95
8.725,96
8.750,95
8.775,93
8.800,98
8.825,94
8.850,96
8.875,92
8.900,98
8.925,93
8.950,95
8.975,93
9.000,93
9.025,94
9.050,94
9.075,93
9.100,93
9.125,91
9.150,93
9.175,92
9.200,95
9.225,93
9.250,94
9.275,95
9.300,97
9.325,99
9.350,100
9.375,97
9.400,99
9.425,103
9.450,100
9.475,104
9.500,97
9.525,96
9.550,95
9.575,94
9.600,91
9.625,90
9.650,85
9.675,89
9.700,86
9.725,83
9.750,86
9.775,83
9.800,81
9.825,83
9.850,84
9.875,83
9.900,84
9.925,79
9.950,83
9.975,80
10.000,83
10.025,82
10.050,80
10.075,83
10.100,80
10.125,81
10.150,78
10.175,83
10.200,80
10.225,81
10.250,81
10.275,82
10.300,81
10.325,76
10.350,82
10.375,79
10.400,79
10.425,81
10.450,79
10.475,83
10.500,80
10.525,81
10.550,81
10.575,82
10.600,80
10.625,80
10.650,82
10.675,78
10.700,79
10.725,79
10.750,81
10.775,79
10.800,79
10.825,78
10.850,79
10.875,76
10.900,74
10.925,73
10.950,79
10.975,74
11.000,71
11.025,74
11.050,71
11.075,72
11.100,75
11.125,73
11.150,72
11.175,74
11.200,70
11.225,75
11.250,70
11.275,66
11.300,67
11.325,71
11.350,67
11.375,72
11.400,70
11.425,72
11.450,68
11.475,71
11.500,68
11.525,68
11.550,68
11.575,70
11.600,69
11.625,71
11.650,69
11.675,69
11.700,69
11.725,67
