[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={FDFF3DF9-3853-4573-8C07-D24AA8EB5C47}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,22/Jan/2018 20:51
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.000,60.000
Scan step size,0.0250000
No. of points, 2081
Scan type,STEP
Omega,2.000
Time per step,20.000
[Scan points]
Angle,Intensity
8.000,104
8.025,97
8.050,98
8.075,99
8.100,102
8.125,100
8.150,103
8.175,102
8.200,95
8.225,102
8.250,100
8.275,101
8.300,93
8.325,96
8.350,98
8.375,98
8.400,100
8.425,95
8.450,95
8.475,96
8.500,94
8.525,95
8.550,96
8.575,93
8.600,94
8.625,92
8.650,93
8.675,93
8.700,94
8.725,95
8.750,92
8.775,92
8.800,89
8.825,88
8.850,91
8.875,91
8.900,92
8.925,90
8.950,90
8.975,91
9.000,92
9.025,92
9.050,91
9.075,94
9.100,86
9.125,90
9.150,91
9.175,91
9.200,86
9.225,90
9.250,91
9.275,89
9.300,91
9.325,91
9.350,96
9.375,91
9.400,90
9.425,92
9.450,90
9.475,88
9.500,90
9.525,88
9.550,90
9.575,89
9.600,90
9.625,86
9.650,86
9.675,88
9.700,86
9.725,81
9.750,86
9.775,83
9.800,83
9.825,85
9.850,87
9.875,86
9.900,87
9.925,84
9.950,81
9.975,84
10.000,85
10.025,81
10.050,82
10.075,81
10.100,79
10.125,83
10.150,82
10.175,81
10.200,81
10.225,83
10.250,78
10.275,82
10.300,82
10.325,79
10.350,79
10.375,77
10.400,83
10.425,79
10.450,78
10.475,79
10.500,81
10.525,79
10.550,80
10.575,78
10.600,79
10.625,80
10.650,81
10.675,74
10.700,77
10.725,78
10.750,73
10.775,73
10.800,78
10.825,80
10.850,76
10.875,80
10.900,77
10.925,77
10.950,75
10.975,76
11.000,77
11.025,80
11.050,77
11.075,79
11.100,76
11.125,73
11.150,72
11.175,78
11.200,73
11.225,76
11.250,75
11.275,76
11.300,71
11.325,74
11.350,75
11.375,76
11.400,74
11.425,72
11.450,72
11.475,75
11.500,73
11.525,70
11.550,70
11.575,75
11.600,72
11.625,72
11.650,71
11.675,71
11.700,70
