[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={4F373A79-D04C-4C38-BC38-DE604BBDD19E}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,22/Jan/2018 13:02
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.000,17.525
Scan step size,0.0250000
No. of points, 382
Scan type,STEP
Omega,2.000
Time per step,20.000
[Scan points]
Angle,Intensity
8.000,103
8.025,101
8.050,103
8.075,99
8.100,99
8.125,99
8.150,98
8.175,99
8.200,96
8.225,97
8.250,96
8.275,96
8.300,94
8.325,97
8.350,95
8.375,97
8.400,97
8.425,96
8.450,94
8.475,98
8.500,95
8.525,99
8.550,94
8.575,92
8.600,93
8.625,93
8.650,93
8.675,94
8.700,92
8.725,91
8.750,95
8.775,94
8.800,95
8.825,94
8.850,96
8.875,97
8.900,96
8.925,93
8.950,94
8.975,91
9.000,90
9.025,92
9.050,91
9.075,89
9.100,95
9.125,94
9.150,92
9.175,91
9.200,91
9.225,90
9.250,95
9.275,93
9.300,90
9.325,91
9.350,89
9.375,91
9.400,93
9.425,90
9.450,91
9.475,90
9.500,86
9.525,92
9.550,89
9.575,90
9.600,83
9.625,89
9.650,85
9.675,84
9.700,89
9.725,89
9.750,87
9.775,87
9.800,86
9.825,83
9.850,79
9.875,84
9.900,84
9.925,80
9.950,83
9.975,82
10.000,84
10.025,86
10.050,83
10.075,84
10.100,84
10.125,87
10.150,87
10.175,83
10.200,83
10.225,83
10.250,80
10.275,84
10.300,82
10.325,80
10.350,83
10.375,76
10.400,79
10.425,82
10.450,85
10.475,82
10.500,81
10.525,79
10.550,78
10.575,78
10.600,82
10.625,79
10.650,76
10.675,78
10.700,80
10.725,81
10.750,78
10.775,79
10.800,77
10.825,72
10.850,78
10.875,81
10.900,77
10.925,79
10.950,77
10.975,78
11.000,77
11.025,78
11.050,73
11.075,76
11.100,76
11.125,72
11.150,76
11.175,73
11.200,76
11.225,78
11.250,75
11.275,73
11.300,77
11.325,76
11.350,74
11.375,70
11.400,73
11.425,70
11.450,76
11.475,72
11.500,74
11.525,75
11.550,76
11.575,72
11.600,72
11.625,75
11.650,72
11.675,68
11.700,71
11.725,70
