[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={1188D76C-BB31-48B4-B1BA-2C0B24B5F296}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,12/Jun/2018 17:30
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,71.72500
Scan step size,0.0250000
No. of points, 2069
Scan type,CONTINUOUS
Omega,5.000
Time per step,17.00
[Scan points]
Angle,Intensity
20.01250,463.0
20.03750,484.0
20.06250,451.0
20.08750,507.0
20.11250,490.0
20.13750,476.0
20.16250,480.0
20.18750,468.0
20.21250,474.0
20.23750,498.0
20.26250,449.0
20.28750,469.0
20.31250,455.0
20.33750,453.0
20.36250,427.0
20.38750,447.0
20.41250,464.0
20.43750,441.0
20.46250,500.0
20.48750,472.0
20.51250,443.0
20.53750,457.0
20.56250,428.0
20.58750,446.0
20.61250,490.0
20.63750,446.0
20.66250,456.0
20.68750,458.0
20.71250,435.0
20.73750,414.0
20.76250,440.0
20.78750,449.0
20.81250,445.0
20.83750,431.0
20.86250,453.0
20.88750,429.0
20.91250,402.0
20.93750,417.0
20.96250,436.0
20.98750,447.0
21.01250,451.0
21.03750,424.0
21.06250,427.0
21.08750,421.0
21.11250,434.0
21.13750,448.0
21.16250,469.0
21.18750,397.0
21.21250,371.0
21.23750,424.0
21.26250,419.0
21.28750,431.0
21.31250,408.0
21.33750,456.0
21.36250,425.0
21.38750,453.0
21.41250,405.0
21.43750,431.0
21.46250,440.0
21.48750,414.0
21.51250,438.0
21.53750,400.0
21.56250,372.0
21.58750,399.0
21.61250,409.0
21.63750,389.0
21.66250,392.0
21.68750,372.0
21.71250,374.0
21.73750,410.0
21.76250,408.0
21.78750,429.0
21.81250,423.0
21.83750,377.0
21.86250,362.0
21.88750,465.0
21.91250,387.0
21.93750,421.0
21.96250,372.0
21.98750,390.0
22.01250,383.0
22.03750,404.0
22.06250,384.0
22.08750,415.0
22.11250,403.0
22.13750,428.0
22.16250,403.0
22.18750,430.0
22.21250,408.0
22.23750,428.0
22.26250,379.0
22.28750,398.0
22.31250,400.0
22.33750,393.0
22.36250,401.0
22.38750,386.0
22.41250,422.0
22.43750,382.0
22.46250,384.0
