[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={07D6FCFD-48B5-4C05-A893-001347146203}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,13/Jun/2018 17:44
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,19.99600,99.99600
Scan step size,0.0250000
No. of points, 3200
Scan type,CONTINUOUS
Omega,5.000
Time per step,17.00
[Scan points]
Angle,Intensity
20.00850,446.0
20.03350,437.0
20.05850,475.0
20.08350,471.0
20.10850,444.0
20.13350,463.0
20.15850,483.0
20.18350,462.0
20.20850,440.0
20.23350,440.0
20.25850,425.0
20.28350,373.0
20.30850,391.0
20.33350,438.0
20.35850,448.0
20.38350,424.0
20.40850,458.0
20.43350,437.0
20.45850,426.0
20.48350,408.0
20.50850,442.0
20.53350,408.0
20.55850,443.0
20.58350,436.0
20.60850,463.0
20.63350,473.0
20.65850,401.0
20.68350,425.0
20.70850,397.0
20.73350,425.0
20.75850,439.0
20.78350,467.0
20.80850,439.0
20.83350,400.0
20.85850,424.0
20.88350,458.0
20.90850,422.0
20.93350,435.0
20.95850,430.0
20.98350,408.0
21.00850,452.0
21.03350,398.0
21.05850,390.0
21.08350,458.0
21.10850,465.0
21.13350,454.0
21.15850,407.0
21.18350,426.0
21.20850,446.0
21.23350,403.0
21.25850,446.0
21.28350,405.0
21.30850,399.0
21.33350,389.0
21.35850,429.0
21.38350,399.0
21.40850,413.0
21.43350,450.0
21.45850,418.0
21.48350,413.0
21.50850,427.0
21.53350,389.0
21.55850,407.0
21.58350,407.0
21.60850,423.0
21.63350,409.0
21.65850,389.0
21.68350,407.0
21.70850,386.0
21.73350,425.0
21.75850,377.0
21.78350,398.0
21.80850,443.0
21.83350,409.0
21.85850,385.0
21.88350,414.0
21.90850,384.0
21.93350,375.0
21.95850,383.0
21.98350,427.0
22.00850,395.0
22.03350,433.0
22.05850,410.0
22.08350,380.0
22.10850,403.0
22.13350,402.0
22.15850,397.0
22.18350,393.0
22.20850,403.0
22.23350,382.0
22.25850,376.0
22.28350,377.0
22.30850,386.0
22.33350,406.0
22.35850,396.0
22.38350,408.0
22.40850,425.0
22.43350,341.0
22.45850,402.0
