[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\BraggBrentano.xrdmp, Identifier={B026263C-783E-4D57-9B54-F70B70E2F34D}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,21/Jun/2018 17:12
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.00000,80.00000
Scan step size,0.0250000
No. of points, 2400
Scan type,CONTINUOUS
Time per step,3.00
[Scan points]
Angle,Intensity
20.01250,105.0
20.03750,123.0
20.06250,82.0
20.08750,107.0
20.11250,89.0
20.13750,98.0
20.16250,77.0
20.18750,104.0
20.21250,100.0
20.23750,109.0
20.26250,92.0
20.28750,95.0
20.31250,105.0
20.33750,87.0
20.36250,94.0
20.38750,100.0
20.41250,99.0
20.43750,95.0
20.46250,97.0
20.48750,105.0
20.51250,98.0
20.53750,78.0
20.56250,97.0
20.58750,108.0
20.61250,87.0
20.63750,93.0
20.66250,96.0
20.68750,84.0
20.71250,93.0
20.73750,109.0
20.76250,89.0
20.78750,92.0
20.81250,101.0
20.83750,91.0
20.86250,76.0
20.88750,93.0
20.91250,104.0
20.93750,72.0
20.96250,97.0
20.98750,80.0
21.01250,96.0
21.03750,85.0
21.06250,87.0
21.08750,81.0
21.11250,88.0
21.13750,77.0
21.16250,78.0
21.18750,95.0
21.21250,107.0
21.23750,93.0
21.26250,80.0
21.28750,91.0
21.31250,86.0
21.33750,88.0
21.36250,87.0
21.38750,78.0
21.41250,84.0
21.43750,75.0
21.46250,90.0
21.48750,90.0
21.51250,81.0
21.53750,92.0
21.56250,85.0
21.58750,73.0
21.61250,100.0
21.63750,87.0
21.66250,95.0
21.68750,82.0
21.71250,79.0
21.73750,86.0
21.76250,84.0
21.78750,91.0
21.81250,75.0
21.83750,78.0
21.86250,86.0
21.88750,72.0
21.91250,88.0
21.93750,75.0
21.96250,94.0
21.98750,77.0
22.01250,76.0
22.03750,81.0
22.06250,89.0
22.08750,77.0
22.11250,91.0
22.13750,90.0
22.16250,76.0
22.18750,80.0
22.21250,90.0
22.23750,88.0
22.26250,90.0
22.28750,94.0
22.31250,87.0
22.33750,82.0
22.36250,70.0
22.38750,69.0
22.41250,85.0
22.43750,74.0
22.46250,90.0
22.48750,72.0
