[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\BraggBrentano.xrdmp, Identifier={7DCF8E5D-DA6A-4196-83ED-5F894A527A73}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,18/May/2018 17:19
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,30.00000,80.00000
Scan step size,0.0250000
No. of points, 2000
Scan type,CONTINUOUS
Time per step,3.00
[Scan points]
Angle,Intensity
30.01250,9.0
30.03750,5.0
30.06250,6.0
30.08750,8.0
30.11250,3.0
30.13750,6.0
30.16250,11.0
30.18750,7.0
30.21250,5.0
30.23750,7.0
30.26250,5.0
30.28750,6.0
30.31250,3.0
30.33750,3.0
30.36250,5.0
30.38750,5.0
30.41250,9.0
30.43750,8.0
30.46250,5.0
30.48750,9.0
30.51250,12.0
30.53750,4.0
30.56250,4.0
30.58750,9.0
30.61250,3.0
30.63750,6.0
30.66250,7.0
30.68750,4.0
30.71250,9.0
30.73750,5.0
30.76250,6.0
30.78750,2.0
30.81250,8.0
30.83750,4.0
30.86250,2.0
30.88750,5.0
30.91250,10.0
30.93750,4.0
30.96250,7.0
30.98750,3.0
31.01250,6.0
31.03750,2.0
31.06250,6.0
31.08750,7.0
31.11250,6.0
31.13750,6.0
31.16250,6.0
31.18750,7.0
31.21250,6.0
31.23750,8.0
31.26250,6.0
31.28750,9.0
31.31250,5.0
31.33750,8.0
31.36250,5.0
31.38750,9.0
31.41250,8.0
31.43750,6.0
31.46250,5.0
31.48750,6.0
31.51250,9.0
31.53750,3.0
31.56250,7.0
31.58750,4.0
31.61250,2.0
31.63750,4.0
31.66250,7.0
31.68750,6.0
31.71250,8.0
31.73750,5.0
31.76250,7.0
31.78750,3.0
31.81250,8.0
31.83750,7.0
31.86250,2.0
31.88750,3.0
31.91250,6.0
31.93750,5.0
31.96250,8.0
31.98750,7.0
32.01250,6.0
32.03750,11.0
32.06250,3.0
32.08750,3.0
32.11250,3.0
32.13750,8.0
32.16250,5.0
32.18750,4.0
32.21250,1.0
32.23750,9.0
32.26250,5.0
32.28750,1.0
32.31250,4.0
32.33750,6.0
32.36250,8.0
32.38750,4.0
32.41250,5.0
32.43750,5.0
32.46250,6.0
32.48750,1.0
