,Angle,Intensity,class,pos,sample,search
0,12.27797,0.0,Ag2Se,0,1,min
1,31.70297,498.34635999999995,Ag2Se,3885,1,max
2,34.84297,0.00479,Ag2Se,4513,1,min
3,39.08797,1000.0,Ag2Se,5362,1,max
4,50.35797,0.00037999999999999997,Ag2Se,7616,1,min
5,56.47297,89.64792,Ag2Se,8839,1,max
6,58.302969999999995,0.00496,Ag2Se,9205,1,min
7,61.46297,386.92821000000004,Ag2Se,9837,1,max
8,64.15796999999999,0.00719,Ag2Se,10376,1,min
9,66.22797,144.31416000000002,Ag2Se,10790,1,max
10,71.13797,0.0014,Ag2Se,11772,1,min
11,75.29297,86.83024,Ag2Se,12603,1,max
12,77.46797,0.0037,Ag2Se,13038,1,min
13,79.67296999999999,69.13136999999999,Ag2Se,13479,1,max
14,85.44296999999999,0.0,Ag2Se,14633,1,min
15,96.84297,63.410619999999994,Ag2Se,16913,1,max
16,98.98796999999999,0.00495,Ag2Se,17342,1,min
17,101.17296999999999,54.38296999999999,Ag2Se,17779,1,max
18,105.28296999999999,0.00067,Ag2Se,18601,1,min
19,114.68297,50.21447,Ag2Se,20481,1,max
20,121.18297,0.0,Ag2Se,21781,1,min
21,12.56343,0.00033,Ag2Se,0,2,min
22,22.558429999999998,1000.0,Ag2Se,1999,2,max
23,27.773429999999998,0.0022,Ag2Se,3042,2,min
24,32.11343,422.24164,Ag2Se,3910,2,max
25,37.03843,0.0007599999999999999,Ag2Se,4895,2,min
26,51.86843,231.62661,Ag2Se,7861,2,max
27,55.068430000000006,0.0023899999999999998,Ag2Se,8501,2,min
28,57.25343,59.99533,Ag2Se,8938,2,max
29,59.813430000000004,0.00124,Ag2Se,9450,2,min
30,67.17343000000001,202.37637,Ag2Se,10922,2,max
31,69.56843,0.0063100000000000005,Ag2Se,11401,2,min
32,71.85843,138.07571000000002,Ag2Se,11859,2,max
33,74.01343,0.00662,Ag2Se,12290,2,min
34,76.41343,164.66408,Ag2Se,12770,2,max
35,82.89843,0.0007599999999999999,Ag2Se,14067,2,min
36,89.69343,146.02039,Ag2Se,15426,2,max
37,95.94343,0.00091,Ag2Se,16676,2,min
38,102.95343000000001,117.65154,Ag2Se,18078,2,max
39,105.40343,0.00797,Ag2Se,18568,2,min
40,107.49843,57.67203000000001,Ag2Se,18987,2,max
41,109.68843000000001,0.006840000000000001,Ag2Se,19425,2,min
42,112.15843000000001,67.97565,Ag2Se,19919,2,max
43,119.26843000000001,0.00059,Ag2Se,21341,2,min
44,127.35343,37.02539,Ag2Se,22958,2,max
45,137.13843,0.0013599999999999999,Ag2Se,24915,2,min
46,146.74843,33.0558,Ag2Se,26837,2,max
47,156.71843,0.00042,Ag2Se,28831,2,min
48,12.27797,0.00033,Ag2Se,0,3,min
49,22.27297,1000.0,Ag2Se,1999,3,max
